year,round,circuitId,date,rainy,Turns,Length,driverId,constructorId,grid,Driver Top 3 Finish Percentage (Last Year),Constructor Top 3 Finish Percentage (Last Year),Driver Top 3 Finish Percentage (This Year till last race),Constructor Top 3 Finish Percentage (This Year till last race),Driver Avg position (Last Year),Constructor Avg position (Last Year),Driver Average Position (This Year till last race),Constructor Average Position (This Year till last race),driver_age,nationality_encoded,wins_cons,points_cons_champ,wins,points_driver_champ,laps,statusId,Weighted_Top_3_Probability,Weighted_Top_3_Prob_Length,position_previous_race,nro_cond_escuderia,raceId,points,prom_points_10,Top 3 Finish
2000,1,1,2000-03-12,0,14,5.278,2,20,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,15,0.0,0.0,0.0,0.0,56,12,0.087719298245614,0.0909090909090909,8.0,2,158,0.0,9.4,0
2000,1,1,2000-03-12,0,14,5.278,14,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,6,0.0,0.0,0.0,0.0,11,5,0.2083333333333333,0.2222222222222222,20.0,2,158,0.0,47.6,0
2000,1,1,2000-03-12,0,14,5.278,15,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,20,0.0,0.0,0.0,0.0,35,5,0.0483870967741935,0.0833333333333333,20.0,2,158,0.0,8.5,0
2000,1,1,2000-03-12,0,14,5.278,18,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6,0.0,4.0,0.0,0.0,46,5,0.1604938271604938,0.2352941176470588,20.0,2,158,0.0,1.2,0
2000,1,1,2000-03-12,0,14,5.278,21,22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,20,0.0,2.0,0.0,2.0,58,1,0.0769230769230769,0.1,11.0,1,158,2.0,4.5,0
2000,1,1,2000-03-12,0,14,5.278,22,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,5,1.0,16.0,0.0,6.0,58,1,0.3225806451612903,0.4166666666666667,3.0,2,158,6.0,39.4,1
2000,1,1,2000-03-12,0,14,5.278,23,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,15,0.0,4.0,0.0,4.0,58,1,0.1463414634146341,0.25,4.0,1,158,4.0,36.5,1
2000,1,1,2000-03-12,0,14,5.278,25,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3,0.0,2.0,0.0,0.0,58,1,0.0909090909090909,0.0,17.0,2,158,0.0,10.5,0
2000,1,1,2000-03-12,0,14,5.278,30,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,15,1.0,16.0,1.0,10.0,58,1,0.5686274509803921,0.4,1.0,1,158,10.0,86.5,1
2000,1,1,2000-03-12,0,14,5.278,35,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,7,0.0,4.0,0.0,3.0,58,1,0.0333333333333333,0.0,7.0,1,158,3.0,9.3,0
2000,1,1,2000-03-12,0,14,5.278,37,21,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,29,0.0,0.0,0.0,0.0,6,22,0.0384615384615384,0.0,20.0,1,158,0.0,1.5,0
2000,1,1,2000-03-12,0,14,5.278,41,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,0.0,4.0,0.0,1.0,58,1,0.0,0.0,19.0,2,158,1.0,0.1111111111111111,0
2000,1,1,2000-03-12,0,14,5.278,48,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,29,0.0,0.0,0.0,0.0,57,11,0.0,0.0,17.0,1,158,0.0,1.0,0
2000,1,1,2000-03-12,0,14,5.278,49,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,15,0.0,0.0,0.0,0.0,39,9,0.1111111111111111,0.0,20.0,1,158,0.0,5.4,0
2000,1,1,2000-03-12,0,14,5.278,50,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,12,0.0,0.0,0.0,0.0,16,22,0.0,0.0,20.0,2,158,0.0,0.9,0
2000,1,1,2000-03-12,0,14,5.278,55,20,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,14,0.0,0.0,0.0,0.0,27,9,0.0,0.0,20.0,1,158,0.0,3.7,0
2000,1,1,2000-03-12,0,14,5.278,56,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,6,0.0,0.0,0.0,0.0,6,20,0.0,0.0,20.0,2,158,0.0,4.0,0
2000,1,1,2000-03-12,0,14,5.278,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,13,0.0,0.0,0.0,0.0,18,5,0.4,0.0,20.0,1,158,0.0,19.6,0
2000,1,1,2000-03-12,0,14,5.278,60,18,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,0.0,0.0,0.0,0.0,40,6,0.0,0.0,20.0,2,158,0.0,0.0,0
2000,1,1,2000-03-12,0,14,5.278,63,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,13,0.0,0.0,0.0,0.0,58,2,0.0,0.0,20.0,1,158,0.0,1.8,0
2000,1,1,2000-03-12,0,14,5.278,64,15,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,0.0,0.0,0.0,0.0,41,7,0.0,0.0,20.0,2,158,0.0,0.0,0
2000,1,1,2000-03-12,0,14,5.278,65,19,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,6,0.0,0.0,0.0,0.0,1,8,0.0,0.0,20.0,1,158,0.0,0.0,0
2000,2,18,2000-03-26,0,15,4.309,2,20,19,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.5,23,15,0.0,0.0,0.0,0.0,9,5,0.1388888888888889,0.1,9.0,2,159,0.0,8.6,0
2000,2,18,2000-03-26,0,15,4.309,14,1,2,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,29,6,0.0,0.0,0.0,0.0,71,2,0.1935483870967742,0.2222222222222222,20.0,2,159,0.0,43.2,0
2000,2,18,2000-03-26,0,15,4.309,15,17,12,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.5,26,20,0.0,7.0,0.0,3.0,71,1,0.075,0.0,9.0,2,159,3.0,8.1,0
2000,2,18,2000-03-26,0,15,4.309,18,3,9,0.0,0.0,0.0,50.0,0.0,0.0,11.0,7.0,20,6,0.0,7.0,0.0,1.0,70,11,0.175438596491228,0.1764705882352941,17.0,2,159,1.0,1.3,0
2000,2,18,2000-03-26,0,15,4.309,21,22,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,27,20,0.0,8.0,0.0,8.0,71,1,0.0857142857142857,0.2,5.0,1,159,8.0,5.2,1
2000,2,18,2000-03-26,0,15,4.309,22,6,4,0.0,0.0,100.0,100.0,0.0,0.0,2.0,1.5,28,5,2.0,26.0,0.0,6.0,27,9,0.2195121951219512,0.0833333333333333,2.0,2,159,6.0,37.4,0
2000,2,18,2000-03-26,0,15,4.309,23,3,11,0.0,0.0,100.0,50.0,0.0,0.0,3.0,7.0,25,15,0.0,7.0,0.0,6.0,70,11,0.1071428571428571,0.125,3.0,1,159,6.0,34.6,0
2000,2,18,2000-03-26,0,15,4.309,25,22,13,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,26,3,0.0,8.0,0.0,0.0,6,5,0.0,0.0,7.0,2,159,0.0,9.7,0
2000,2,18,2000-03-26,0,15,4.309,30,6,3,0.0,0.0,100.0,100.0,0.0,0.0,1.0,1.5,31,15,2.0,26.0,2.0,20.0,71,1,0.4242424242424242,0.3,1.0,1,159,20.0,81.7,1
2000,2,18,2000-03-26,0,15,4.309,35,16,10,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,29,7,0.0,4.0,0.0,3.0,16,6,0.0,0.0,4.0,1,159,3.0,8.9,0
2000,2,18,2000-03-26,0,15,4.309,37,21,16,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,29,29,0.0,0.0,0.0,0.0,70,11,0.0,0.0,16.0,1,159,0.0,1.4,0
2000,2,18,2000-03-26,0,15,4.309,41,16,8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,24,5,0.0,4.0,0.0,1.0,69,12,0.0,0.0,6.0,2,159,1.0,0.2,0
2000,2,18,2000-03-26,0,15,4.309,48,18,18,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.5,26,29,0.0,0.0,0.0,0.0,31,5,0.0,0.0,8.0,1,159,0.0,0.8,0
2000,2,18,2000-03-26,0,15,4.309,49,17,7,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.5,33,15,0.0,7.0,0.0,4.0,71,1,0.0833333333333333,0.25,13.0,1,159,4.0,5.2,1
2000,2,18,2000-03-26,0,15,4.309,50,21,14,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,28,12,0.0,0.0,0.0,0.0,70,11,0.0,0.0,18.0,2,159,0.0,0.8,0
2000,2,18,2000-03-26,0,15,4.309,55,20,15,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.5,36,14,0.0,0.0,0.0,0.0,11,10,0.0,0.0,20.0,1,159,0.0,3.4,0
2000,2,18,2000-03-26,0,15,4.309,56,19,6,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.5,35,6,0.0,0.0,0.0,0.0,20,20,0.0,0.0,20.0,2,159,0.0,3.6,0
2000,2,18,2000-03-26,0,15,4.309,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,32,13,0.0,0.0,0.0,0.0,30,51,0.1666666666666666,0.0,20.0,1,159,0.0,18.7,0
2000,2,18,2000-03-26,0,15,4.309,60,18,20,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.5,25,1,0.0,0.0,0.0,0.0,69,12,0.0,0.0,25.0,2,159,0.0,0.0,0
2000,2,18,2000-03-26,0,15,4.309,63,15,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,34,13,0.0,0.0,0.0,0.0,0,89,0.0,0.0,20.0,1,159,0.0,1.6,0
2000,2,18,2000-03-26,0,15,4.309,64,15,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,30,5,0.0,0.0,0.0,0.0,0,89,0.0,0.0,20.0,2,159,0.0,0.0,0
2000,2,18,2000-03-26,0,15,4.309,65,19,17,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.5,36,6,0.0,0.0,0.0,0.0,51,6,0.0,0.0,20.0,1,159,0.0,0.0,0
2000,3,21,2000-04-09,0,19,4.909,2,20,22,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.5,23,15,0.0,0.0,0.0,0.0,22,9,0.0714285714285714,0.0,14.0,2,160,0.0,7.7,0
2000,3,21,2000-04-09,0,19,4.909,14,1,3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.25,29,6,0.0,10.0,0.0,4.0,62,1,0.25,0.2857142857142857,2.0,2,160,4.0,38.9,1
