iter	Accuracy	Logloss
0	0.8404585622	0.609029109
1	0.8476235968	0.5439532051
2	0.8497731072	0.4978935145
3	0.8509672797	0.4667522082
4	0.8521614521	0.4380006263
5	0.8528779556	0.4138184322
6	0.8526391211	0.3941815789
7	0.8562216384	0.3786379938
8	0.8581323143	0.3665891222
9	0.8598041557	0.3573916684
10	0.8598041557	0.3480186291
11	0.8612371626	0.3406276191
12	0.8645808455	0.3323533156
13	0.8660138524	0.3264940256
14	0.8684021973	0.3214490457
15	0.8676856938	0.3171443118
16	0.8686410318	0.3146658056
17	0.8698352042	0.3115727997
18	0.8719847146	0.3087986005
19	0.8729400525	0.3056022959
20	0.873178887	0.3021492693
21	0.873656556	0.2995690025
22	0.8762837354	0.2980334264
23	0.8786720802	0.2956066312
24	0.8774779078	0.2934298178
25	0.8784332458	0.2898062538
26	0.8796274182	0.2872708108
27	0.8803439217	0.285191297
28	0.8810604251	0.2830390252
29	0.8832099355	0.281152633
30	0.8841652735	0.2786728681
31	0.8848817769	0.2769284847
32	0.8879866253	0.2738795902
33	0.8887031287	0.271338478
34	0.8891807977	0.2700227567
35	0.8894196322	0.2687761914
36	0.8908526391	0.2661976545
37	0.8913303081	0.2648420184
38	0.892763315	0.2635185697
39	0.8934798185	0.2614073914
40	0.8941963219	0.2587203001
41	0.8970623358	0.2566330171
42	0.8977788393	0.2552468708
43	0.9004060186	0.2536953386
44	0.90207786	0.2508874329
45	0.9027943635	0.2487363026
46	0.9051827084	0.2467879585
47	0.9061380463	0.2450944213
48	0.9073322188	0.2434601886
49	0.9082875567	0.2424060798
50	0.9092428947	0.2409253804
51	0.9104370671	0.2395561783
52	0.9104370671	0.2379905236
53	0.912347743	0.2370636657
54	0.9121089085	0.2360047892
55	0.9135419155	0.2348494721
56	0.9149749224	0.2330291515
57	0.9149749224	0.2324365626
58	0.9159302603	0.2311953715
59	0.9183186052	0.2288928419
60	0.9199904466	0.2276317633
61	0.9202292811	0.2262630025
62	0.9207069501	0.2252538241
63	0.921662288	0.2232619287
64	0.923095295	0.220369728
65	0.9235729639	0.2190615187
66	0.9245283019	0.2179325943
67	0.9273943157	0.2161940688
68	0.9278719847	0.2149395909
69	0.9297826606	0.2138173747
70	0.9304991641	0.2125013689
71	0.9312156675	0.2109435765
72	0.9321710055	0.20947502
73	0.93240984	0.2078888548
74	0.932887509	0.2066136889
75	0.9338428469	0.2051574785
76	0.9350370193	0.2030922942
77	0.9362311918	0.2016570409
78	0.9374253642	0.2001037916
79	0.9369476952	0.1995788057
80	0.9379030332	0.1983729183
81	0.9393360401	0.1966149117
82	0.9388583711	0.19550956
83	0.9395748746	0.1944564869
84	0.9400525436	0.1935682014
85	0.9400525436	0.1923540071
86	0.9419632195	0.1902398195
87	0.9431573919	0.1891742448
88	0.9438738954	0.1877599416
89	0.9448292333	0.1867293724
90	0.9455457368	0.1857936636
91	0.9450680678	0.1850952472
92	0.9457845713	0.1829938505
93	0.9469787437	0.1809750515
94	0.9472175782	0.1800569804
95	0.9476952472	0.1790888188
96	0.9484117507	0.1777968386
97	0.9486505851	0.1768442978
98	0.9498447576	0.1754963176
99	0.9512777645	0.1738600656
100	0.9527107714	0.1726382575
101	0.9531884404	0.1714840822
102	0.9541437784	0.1705444376
103	0.9548602818	0.168589604
104	0.9555767853	0.1676678038
105	0.9570097922	0.1666210595
106	0.9572486267	0.1654509306
107	0.9586816336	0.1644045489
108	0.9586816336	0.164031627
109	0.9591593026	0.1636269444
110	0.9593981371	0.1625608757
111	0.960353475	0.1611098376
112	0.961786482	0.1600663609
113	0.9627418199	0.1590200567
114	0.9636971579	0.1573697644
115	0.9660855027	0.1565699996
116	0.9668020062	0.1549616422
117	0.9670408407	0.1542575963
118	0.9677573442	0.153216286
119	0.9679961786	0.1526088114
120	0.9684738476	0.1515943137
121	0.9684738476	0.150624464
122	0.9691903511	0.1499773212
123	0.9689515166	0.1492344317
124	0.9696680201	0.1479420062
125	0.9696680201	0.1469200509
126	0.9703845235	0.1464600474
127	0.971101027	0.1454604937
128	0.971578696	0.1442581879
129	0.9730117029	0.142971095
130	0.9739670408	0.1418632746
131	0.9737282064	0.1402244229
132	0.9744447098	0.1392314106
133	0.9749223788	0.1382903076
134	0.9754000478	0.1371823767
135	0.9756388823	0.1360076468
136	0.9765942202	0.1346584764
137	0.9765942202	0.1336253733
138	0.9770718892	0.13304656
139	0.9773107237	0.1321157027
140	0.9775495582	0.1311033165
141	0.9775495582	0.1302477825
142	0.9785048961	0.1293736738
143	0.9785048961	0.1289414217
144	0.9782660616	0.1282262303
145	0.9785048961	0.1275254921
146	0.9792213996	0.1263810943
147	0.9796990685	0.1251155614
148	0.9801767375	0.1239798789
149	0.9806544065	0.1232735814
150	0.9811320755	0.1224813393
151	0.9816097444	0.1217175731
152	0.9816097444	0.1210237887
153	0.9820874134	0.1202021515
154	0.9823262479	0.1198143603
155	0.9828039169	0.1193454663
156	0.9837592548	0.1183364619
157	0.9835204203	0.117717655
158	0.9835204203	0.1169665794
159	0.9837592548	0.1161883007
160	0.9839980893	0.115483606
161	0.9839980893	0.1150391348
162	0.9837592548	0.1146449323
163	0.9842369238	0.1138913714
164	0.9844757583	0.1131139139
165	0.9847145928	0.1124565828
166	0.9847145928	0.1119158502
167	0.9849534273	0.1115445908
168	0.9849534273	0.1109058652
169	0.9851922618	0.1106157414
170	0.9854310963	0.109871074
171	0.9854310963	0.1095304396
172	0.9856699307	0.1082913386
173	0.9856699307	0.107668558
174	0.9861475997	0.1069808793
175	0.9861475997	0.1059371517
176	0.9863864342	0.1053895924
177	0.9868641032	0.1044035394
178	0.9873417722	0.1038857721
179	0.9875806066	0.1035115654
180	0.9873417722	0.102648754
181	0.9875806066	0.1022547218
182	0.9880582756	0.1013666677
183	0.9880582756	0.1006667273
184	0.9882971101	0.1002263094
185	0.9890136136	0.0996092115
186	0.9892524481	0.09909771836
187	0.989730117	0.09862943228
188	0.9899689515	0.0977948302
189	0.9904466205	0.09697913518
190	0.9904466205	0.09669289115
191	0.990207786	0.09609559853
192	0.990207786	0.09496381325
193	0.990685455	0.093947744
194	0.990685455	0.09345419716
195	0.9914019584	0.09242890172
196	0.9916407929	0.09177109928
197	0.9916407929	0.09151475548
198	0.9916407929	0.09119433739
199	0.9916407929	0.09071977451
200	0.9916407929	0.09039944016
201	0.9918796274	0.08978964404
202	0.9918796274	0.0892891739
203	0.9921184619	0.08900045984
204	0.9921184619	0.08836666436
205	0.9923572964	0.08798774362
206	0.9923572964	0.08735957586
207	0.9923572964	0.08698743817
208	0.9925961309	0.08655637147
209	0.9925961309	0.08631792899
210	0.9923572964	0.08585308097
211	0.9925961309	0.08565753634
212	0.9928349654	0.08523755282
213	0.9925961309	0.08506419418
214	0.9928349654	0.08479923509
215	0.9933126343	0.08429158307
216	0.9937903033	0.08371395193
217	0.9935514688	0.08295237967
218	0.9937903033	0.08258311203
219	0.9937903033	0.08233024482
220	0.9937903033	0.08179951135
221	0.9937903033	0.08136677026
222	0.9937903033	0.08115143211
223	0.9940291378	0.08098956262
224	0.9940291378	0.08023462043
225	0.9940291378	0.07997711658
226	0.9940291378	0.07958777064
227	0.9940291378	0.07911800442
228	0.9940291378	0.07865951859
229	0.9942679723	0.07770326111
230	0.9942679723	0.07733567729
231	0.9940291378	0.07708851139
232	0.9940291378	0.07654250342
233	0.9942679723	0.07610489184
234	0.9942679723	0.07565290838
235	0.9949844758	0.07485197379
236	0.9952233102	0.0742770304
237	0.9957009792	0.07363311582
238	0.9954621447	0.07332058056
239	0.9954621447	0.0731529679
240	0.9954621447	0.07255752451
241	0.9957009792	0.0721306059
242	0.9959398137	0.07162463821
243	0.9959398137	0.07143596579
244	0.9961786482	0.0711356032
245	0.9959398137	0.07093662943
246	0.9959398137	0.07043718609
247	0.9959398137	0.07010160032
248	0.9959398137	0.06967586389
249	0.9959398137	0.06928977381
250	0.9959398137	0.06906484655
251	0.9964174827	0.06856106596
252	0.9964174827	0.06827094957
253	0.9964174827	0.06788972267
254	0.9964174827	0.06754170217
255	0.9964174827	0.06718501344
256	0.9964174827	0.06670493641
257	0.9964174827	0.06624554838
258	0.9961786482	0.06596710082
259	0.9961786482	0.06580105149
260	0.9966563172	0.06529420712
261	0.9968951517	0.06485982871
262	0.9971339861	0.06470614641
263	0.9971339861	0.06458512498
264	0.9971339861	0.06437177264
265	0.9971339861	0.06388794205
266	0.9971339861	0.06356804628
267	0.9971339861	0.063355875
268	0.9971339861	0.06320405285
269	0.9971339861	0.06284321032
270	0.9971339861	0.06247060819
271	0.9973728206	0.06189038733
272	0.9978504896	0.06160048582
273	0.9978504896	0.06140261375
274	0.9978504896	0.06124159439
275	0.9983281586	0.06090355565
276	0.9983281586	0.06044616134
277	0.9983281586	0.05997731345
278	0.9983281586	0.05967561509
279	0.9983281586	0.0593574974
280	0.9983281586	0.0591220641
281	0.9983281586	0.05894298692
282	0.9983281586	0.05852412553
283	0.9983281586	0.05834980286
284	0.9983281586	0.05812343502
285	0.9983281586	0.05768522239
286	0.9983281586	0.05727973667
287	0.9985669931	0.05672744596
288	0.9985669931	0.05649508355
289	0.9985669931	0.0562854817
290	0.9985669931	0.05595236602
291	0.9985669931	0.05557430219
292	0.9985669931	0.0552420707
293	0.9985669931	0.05489120034
294	0.9985669931	0.05477240693
295	0.9985669931	0.05460491749
296	0.9985669931	0.05415698537
297	0.9985669931	0.05405637353
298	0.9985669931	0.05379411312
299	0.9985669931	0.05350959181
300	0.9988058276	0.05333680485
301	0.9988058276	0.052974047
302	0.9988058276	0.05275028279
303	0.9988058276	0.05249768453
304	0.9988058276	0.05210752664
305	0.9988058276	0.05205634895
306	0.9988058276	0.05174350164
307	0.9988058276	0.05160871107
308	0.9988058276	0.05125116926
309	0.9988058276	0.05099040315
310	0.9988058276	0.05061661985
311	0.9988058276	0.05042151115
312	0.9988058276	0.05029069058
313	0.9988058276	0.05017687246
314	0.9988058276	0.0500511475
315	0.9988058276	0.04983315251
316	0.9988058276	0.04975419816
317	0.9988058276	0.04965425288
318	0.9988058276	0.0494822126
319	0.9988058276	0.04900778354
320	0.9988058276	0.04874249915
321	0.9988058276	0.04855315626
322	0.9988058276	0.04841570842
323	0.999044662	0.04818875538
324	0.999044662	0.04785379965
325	0.999044662	0.04761282775
326	0.999044662	0.04744043288
327	0.999044662	0.04728074919
328	0.999044662	0.04687282788
329	0.9988058276	0.04658024878
330	0.9988058276	0.0464165608
331	0.9988058276	0.04626226026
332	0.9992834965	0.04603757051
333	0.9992834965	0.04572410726
334	0.9992834965	0.04558146656
335	0.9992834965	0.04545189964
336	0.9992834965	0.04537509785
337	0.9992834965	0.04518409486
338	0.9992834965	0.04502109848
339	0.9992834965	0.04487812934
340	0.9992834965	0.04465430682
341	0.9992834965	0.04444871601
342	0.9992834965	0.04427949738
343	0.9992834965	0.04398171594
344	0.9992834965	0.04368453638
345	0.9992834965	0.04350728725
346	0.9992834965	0.04339368528
347	0.9992834965	0.0431171046
348	0.9992834965	0.04298562604
349	0.999522331	0.04264323654
350	0.999522331	0.04244556766
351	0.999522331	0.04234345511
352	0.999522331	0.04208946836
353	0.999522331	0.04185146171
354	0.999522331	0.04167427574
355	0.999522331	0.04155671159
356	0.9992834965	0.04141368056
357	0.9992834965	0.04126144781
358	0.9992834965	0.0411756183
359	0.9992834965	0.04098402662
360	0.999522331	0.04068591088
361	0.999522331	0.04044700783
362	0.9992834965	0.04030056738
363	0.999522331	0.04003662582
364	0.999522331	0.03988257662
365	0.999522331	0.03969997241
366	0.999522331	0.03948862866
367	0.999522331	0.03923576903
368	0.999522331	0.03913983097
369	0.999522331	0.03900719955
370	0.999522331	0.03889968331
371	0.9997611655	0.0387653796
372	0.9997611655	0.03864930055
373	0.9997611655	0.03854419659
374	0.9997611655	0.03840679115
375	0.9997611655	0.03831355706
376	0.9997611655	0.03814712518
377	0.9997611655	0.03791511845
378	0.9997611655	0.03781506909
379	0.9997611655	0.03767775392
380	0.9997611655	0.0375739184
381	0.9997611655	0.03742796989
382	0.9997611655	0.03736996948
383	0.9997611655	0.03719947095
384	0.9997611655	0.03707510355
385	0.9997611655	0.03701953688
386	0.9997611655	0.03687934379
387	1	0.03676557994
388	1	0.03666266716
389	1	0.03640685036
390	1	0.03631967284
391	1	0.03621120297
392	1	0.03611585902
393	1	0.03600452651
394	1	0.03585309511
395	1	0.03575373142
396	1	0.03570309976
397	1	0.03566345892
398	1	0.03551166176
399	1	0.03541127292
400	1	0.03536244682
401	1	0.03532048514
402	1	0.03519162018
403	1	0.03510216639
404	1	0.03493830793
405	1	0.03463818194
406	1	0.03445214632
407	1	0.03436651167
408	1	0.03416542014
409	1	0.03409334122
410	1	0.03392940492
411	1	0.0338020457
412	1	0.0336949325
413	1	0.03365505789
414	1	0.03353612167
415	1	0.03333007815
416	1	0.0332375358
417	1	0.03317487285
418	1	0.03307697586
419	1	0.03299503202
420	1	0.03289942339
421	1	0.03275419757
422	1	0.03262539524
423	1	0.03252853603
424	1	0.03232327313
425	1	0.03217689598
426	1	0.03211177513
427	1	0.03199122719
428	1	0.03194552151
429	1	0.0318531385
430	1	0.03172714864
431	1	0.03157945341
432	1	0.03153756502
433	1	0.03143833358
434	1	0.03135572086
435	1	0.03128729198
436	1	0.03116646896
437	1	0.03099653372
438	1	0.0308696381
439	1	0.03079017013
440	1	0.03067779238
441	1	0.03056677207
442	1	0.03043202653
443	1	0.03036491555
444	1	0.03029281476
445	1	0.0301288996
446	1	0.02998362986
447	1	0.02981626098
448	1	0.02962338528
449	1	0.02945888695
450	1	0.02935567554
451	1	0.02927230412
452	1	0.0292396292
453	1	0.02903851174
454	1	0.02900204454
455	1	0.02883043527
456	1	0.02875329852
457	1	0.02867586384
458	1	0.02849684848
459	1	0.02846939924
460	1	0.02838808306
461	1	0.02828487235
462	1	0.0282490592
463	1	0.02814299999
464	1	0.02809507369
465	1	0.02804315742
466	1	0.02800889052
467	1	0.02794006233
468	1	0.02779014258
469	1	0.02772690455
470	1	0.02756047534
471	1	0.02743744259
472	1	0.02741398621
473	1	0.02723553389
474	1	0.02713362569
475	1	0.02708614461
476	1	0.02699462138
477	1	0.02685692908
478	1	0.02677253964
479	1	0.02662484342
480	1	0.0265777187
481	1	0.02646847039
482	1	0.02638353965
483	1	0.02628986177
484	1	0.02620403605
485	1	0.02610048748
486	1	0.02592116502
487	1	0.02576085685
488	1	0.02561918251
489	1	0.02556423802
490	1	0.0254204226
491	1	0.02533923824
492	1	0.02523267808
493	1	0.02514799093
494	1	0.02506607416
495	1	0.02499685927
496	1	0.02489793076
497	1	0.02478755606
498	1	0.02474422927
499	1	0.0247016274
