iter	Passed	Remaining
0	14	7473
1	24	6186
2	35	5895
3	45	5600
4	53	5298
5	61	5080
6	69	4888
7	77	4768
8	85	4675
9	93	4597
10	101	4523
11	109	4471
12	118	4422
13	126	4383
14	135	4369
15	143	4345
16	151	4305
17	162	4340
18	171	4351
19	182	4388
20	192	4384
21	199	4339
22	206	4287
23	214	4246
24	222	4219
25	229	4182
26	237	4159
27	244	4124
28	252	4108
29	260	4077
30	267	4051
31	275	4024
32	282	4000
33	290	3977
34	297	3952
35	304	3930
36	312	3911
37	319	3888
38	326	3864
39	334	3843
40	343	3842
41	350	3823
42	358	3806
43	365	3789
44	373	3773
45	380	3756
46	388	3741
47	395	3724
48	403	3712
49	410	3697
50	418	3680
51	425	3664
52	432	3651
53	440	3638
54	447	3623
55	455	3609
56	462	3595
57	470	3582
58	477	3570
59	485	3558
60	492	3546
61	500	3534
62	507	3522
63	515	3511
64	523	3501
65	530	3490
66	538	3479
67	545	3466
68	553	3456
69	560	3445
70	568	3435
71	576	3425
72	583	3415
73	591	3404
74	599	3395
75	606	3385
76	614	3375
77	622	3365
78	629	3355
79	637	3345
80	644	3335
81	652	3326
82	659	3315
83	667	3305
84	675	3297
85	682	3287
86	690	3276
87	698	3268
88	705	3257
89	712	3247
90	720	3237
91	729	3233
92	737	3225
93	744	3216
94	752	3209
95	760	3200
96	768	3191
97	775	3181
98	783	3171
99	790	3162
100	798	3152
101	805	3144
102	813	3134
103	820	3124
104	827	3113
105	835	3104
106	842	3094
107	850	3086
108	857	3076
109	865	3067
110	872	3058
111	880	3050
112	887	3041
113	895	3032
114	902	3022
115	910	3014
116	918	3005
117	925	2997
118	933	2989
119	941	2980
120	949	2975
121	957	2966
122	965	2958
123	973	2950
124	980	2942
125	988	2933
126	995	2924
127	1003	2915
128	1011	2909
129	1019	2900
130	1027	2895
131	1035	2886
132	1043	2878
133	1050	2870
134	1058	2861
135	1065	2852
136	1073	2844
137	1080	2835
138	1088	2827
139	1096	2818
140	1103	2810
141	1111	2801
142	1120	2796
143	1127	2787
144	1135	2779
145	1142	2771
146	1150	2762
147	1158	2754
148	1165	2746
149	1173	2738
150	1181	2731
